date	SBER	SBERP	GAZP	LKOH	MGNT	SNGS	SNGSP	GMKN	ROSN	VTBR	TATNP	TRNFP	MTSS	ALRS	MOEX	CHMF	POLY	BANE	BANEP	AFKS	RTKMP	NLMK	HYDR	PHOR	MFON	PIKK	URKA	FEES	AFLT	MAGN	RUAL	UPRO	LSRG	MVID	LNTA	AGRO	DIXY	RSTI	NKNC	CBOM	VSMO	GCHE	MICEX	MIACR	USDCB	USDTOD
05.01.1999				84		1,525																																					45,6	32	20,65	
06.01.1999				86,3		1,554																																					46,79	32	20,65	
10.01.1999			2,64	91,95		1,638	0,37																																				49,72	32	21,91	
11.01.1999			2,685	90		1,6	0,395																																				49,6	30	22,4	
12.01.1999			2,6	90,5		1,601	0,419																																				48,07	30	23,06	
13.01.1999			2,319	82		1,47	0,365																																				44,84	30	22,58	
14.01.1999			2,39	84,4		1,525	0,39																																				43,42	29	21,8	
15.01.1999			2,357	82		1,515	0,38																																				42,33	24	21,45	
18.01.1999			2,405	83,99		1,58	0,4																																				43,61	24	21,88	
19.01.1999			2,372	85,6		1,61	0,41																																				44,36	29	22,37	
20.01.1999			2,374	88,1		1,698	0,43																																				45,24	30	22,98	
21.01.1999			2,393	88,2		1,736	0,44																																				45,83	51,96	22,39	
22.01.1999			2,42	88,7		1,72	0,42																																				44,46	15	22,73	
25.01.1999			2,366	85		1,7	0,42																																				44,54	26	22,75	
26.01.1999			2,38	86,3		1,666	0,43																																				44,59	28	22,95	
27.01.1999			2,33	84,2		1,651	0,43																																				44,16	26	22,82	
28.01.1999			2,356	83,76		1,645	0,43																																				43,94	26,33	22,67	
29.01.1999			2,429	85,6		1,67	0,43																																				44,51	21,8	22,77	
01.02.1999			2,651	85,15		1,63	0,43																																				44,73	28,64	22,6	
02.02.1999			2,488	84		1,62	0,44																																				44,73	22,03	22,77	
03.02.1999			2,652	85,2		1,635	0,45																																				45,04	23,36	22,92	
04.02.1999			2,792	85,3		1,705	0,45																																				45,47	20,03	23,12	
05.02.1999			2,93	84,4		1,712	0,46																																				45,05	11,4	23,14	
08.02.1999			3,075	85,8		1,74	0,47																																				45,64	24,9	23,12	
09.02.1999			2,9	90		1,8	0,47																																				47,03	27,41	23,05	
10.02.1999			3,25	98,11		1,925	0,49																																				50,59	25,01	22,9	
11.02.1999			3,569	105,5		2,25	0,55																																				54,1	24,93	22,76	
12.02.1999			3,48	102,6		2,091	0,52																																				53,59	23,77	22,79	
15.02.1999			3,22	100		2,046	0,51																																				52,91	25,38	22,89	
16.02.1999			3,44	106,9		2,2	0,54																																				55,11	25,92	22,84	
17.02.1999			3,332	105,2		2,15	0,52																																				57,68	10,06	23,11	
18.02.1999			3,4	110		2,16	0,545																																				58,35	10,73	22,87	
19.02.1999			3,535	116,3		2,26	0,571																																				61,13	16,72	22,92	
22.02.1999			3,64	131		2,41	0,609																																				70,36	15,94	22,84	
23.02.1999			3,8	129		2,395	0,62																																				68,8	16	22,84	
24.02.1999			3,77	131,11		2,42	0,605																																				68,39	23	22,8	
25.02.1999			3,628	121		2,27	0,6																																				68,27	20,58	22,82	
26.02.1999			3,5	120		2,265	0,57																																				62,44	11,26	22,84	
01.03.1999			3,514	131		2,34	0,599																																				66,66	13,97	22,86	
02.03.1999			3,526	135,49001		2,421	0,63																																				70,28	22,34	22,89	
03.03.1999			3,305	127,3		2,375	0,586																																				67,44	20,85	22,89	
04.03.1999			3,345	123		2,225	0,58																																				65,32	21,61	22,93	
05.03.1999			3,412	127		2,4	0,6																																				66,74	13,28	23,01	
09.03.1999			3,388	129,35001		2,36	0,605																																				67,93	14,31	23,09	
10.03.1999			3,502	137		2,44	0,625																																				70,08	9,68	23,03	
11.03.1999			3,795	155		2,64	0,685																																				77,61	16,67	22,98	
12.03.1999			3,63	157,5		2,74	0,71																																				79,3	13,4	23,04	
15.03.1999			3,63	161,8		2,81	0,744																																				79,96	18,94	23,12	
16.03.1999			3,72	167		3	0,84																																				82,55	31,92	23,26	
17.03.1999			3,687	176,3		3,2	0,925																																				87,25	19,85	23,35	
18.03.1999			3,67	172,5		3,269	1,023																																				87,61	17,18	23,41	
19.03.1999			3,769	177		3,342	1,04																																				86,28	11,8	23,65	
22.03.1999			3,647	166,25		3,15	0,985																																				84,71	20,77	23,68	
23.03.1999			3,66	171		3,19	1,01																																				82,6	20,32	23,92	
24.03.1999			3,279	169		3,081	0,93																																				79,47	32,17	24,29	
25.03.1999			3,43	191,7		3,5	1,079																																				87,56	15,17	24,22	
26.03.1999			3,55	184		3,35	1,08																																				92,37	9,06	24,18	
29.03.1999			3,546	187,89999		3,33	1,043																																				89,64	13,2	24,19	
30.03.1999			3,47	184		3,221	1,05																																				89,16	20,2	24,2	
31.03.1999			3,391	182,89999		3,171	1																																				86,56	20,65	24,18	
01.04.1999			3,3	182		3,238	0,986																																				87,4	24,66	24,16	
02.04.1999			3,187	180,2		3,165	0,96																																				86,05	8,88	24,29	
05.04.1999			3,186	185,28999		3,185	0,965																																				87,89	26,59	24,83	
06.04.1999			3,15	180,39999		2,93	0,9																																				85,62	20,75	25,11	
07.04.1999			2,883	176,10001		2,85	0,87																																				81,88	29,09	25,1	
08.04.1999			2,861	170,5		2,76	0,82																																				81	25,97	25,12	
09.04.1999			2,646	160		2,61	0,74																																				76,29	10,73	25,09	
12.04.1999			2,934	164		2,691	0,767																																				77,34	22,15	25,03	
13.04.1999			2,857	164		2,695	0,75																																				79,26	21,12	24,96	
14.04.1999			3,09	178,10001		2,86	0,855																																				82,06	14,9	24,9	
15.04.1999			3,01	183		2,94	0,87																																				86,74	15,97	24,85	
16.04.1999			3,053	195,55		3,17	0,925																																				88,79	6,28	24,8	
19.04.1999			3,1	197,05		3,25	0,925														6,15																						92,5	11,43	24,77	
20.04.1999			2,93	186,5		2,955	0,855														5,45																						88,37	13,75	24,78	
21.04.1999			2,965	188		3,03	0,835														5,45																						86,92	16,39	24,77	
22.04.1999			2,955	199		3,3	0,895														5,45																						89,53	12,79	24,72	
23.04.1999			3,057	201,06		3,395	0,944														5,4																						92,18	10,11	24,67	
26.04.1999			3,085	198		3,41	0,935														5,5																						92,41	10,86	24,62	
27.04.1999			3,11	198		3,326	0,9														5																						92,65	10,43	24,53	
28.04.1999			2,962	194,95		3,25	0,88														5																						89,38	9,79	24,4	
29.04.1999			3,071	206		3,5	0,96														5																						93,48	9,94	24,31	
30.04.1999			3,1	214,60001		3,587	0,99														5																						96,6	15,17	24,23	
05.05.1999			3,351	241		3,99	1,07														6																						105,99	13,97	24,16	
06.05.1999			3,458	248,3		4,1	1,097														5,4																						110,93	8,4	24,09	
07.05.1999			3,38	239,71001		4	1,13														7,3																						109,88	9,96	24,07	
11.05.1999			3,291	227		3,7	1,053														7,3																						104,02	10,36	24,04	
12.05.1999			2,94	196		3,03	0,87														5,2																						90,98	10,85	24	
13.05.1999			3,036	210		3,3	0,964														6,1																						92,92	9,61	23,99	
14.05.1999			3,086	209		3,3	0,975														6,1																						96,93	3,73	24,69	
17.05.1999			3,438	235		3,799	1,145														6,1																						106,21	6,49	24,92	
18.05.1999			3,485	245		4	1,175														7,15																						109,6	5,06	24,86	
19.05.1999			3,48	238,00999		3,858	1,145														7,15																						111,19	7,85	24,79	
20.05.1999			3,5	230		3,894	1,121														7,3																						107,04	4,76	24,75	
21.05.1999			3,68	236		3,91	1,142														8,3																						109,97	8,18	24,7	
24.05.1999			3,956	240		3,97	1,16														8,7																						114,19	4,07	24,65	
25.05.1999			3,94	226		3,761	1,133														8,7																						110,18	5,71	24,6	
26.05.1999			3,95	231,5		3,8	1,142														8																						110,51	9,02	24,55	
27.05.1999			4,08	233,5		3,78	1,14														8,5																						112,92	8,86	24,5	
28.05.1999			4,02	231		3,8	1,115														9,44																						110,15	7,87	24,46	
31.05.1999			3,964	226		3,79	1,099														9,44																						107,87	7,06	24,44	
01.06.1999	0,53002	0,2825	4,154	225		3,755	1,074														9,44																						108,46	8,8	24,44	
02.06.1999	0,5035	0,265	4,202	217		3,62	1,035														8																						105,27	6,89	24,43	
03.06.1999	0,535	0,2825	4,57	230,6		3,84	1,087														8																						108,1	6,97	24,4	
04.06.1999	0,55	0,295	4,82	230,1		3,925	1,1														8																						111,75	5,13	24,38	
07.06.1999	0,5674	0,2925	4,755	233,2		3,98	1,1														8																						113,66	7,17	24,36	
08.06.1999	0,585	0,29	4,953	242		4,011	1,123														8																						116,01	5,75	24,34	
09.06.1999	0,6	0,293	5,109	239,7		3,994	1,12														9,5																						116,87	6,01	24,33	
10.06.1999	0,626	0,295	5,25	240,9		4,054	1,14														9,9																						119,3	6,41	24,31	
11.06.1999	0,71	0,346	5,23	241,45		4,04	1,153														10,15																						120,51	3,42	24,29	
15.06.1999	0,673	0,325	5,207	234		3,919	1,127														10,15																						122,19	7,35	24,27	
16.06.1999	0,76	0,3645	5,113	242,5		4,085	1,175														10,7																						123,68	8,33	24,25	
17.06.1999	0,825	0,3725	5,08	239		3,961	1,151														11,03																						126,45	4,97	24,23	
18.06.1999	0,985	0,4475	5,07	242		4	1,174														11,6																						126,13	7,76	24,23	
21.06.1999	1,296	0,665	5,25	249		4,09	1,193														15																						132,72	7,58	24,23	
22.06.1999	1,21	0,6	4,98	244,3		4	1,14														12																						134,93	11,32	24,23	
23.06.1999	1,09	0,545	4,84	240		3,934	1,125														14																						131,1	15,52	24,23	
24.06.1999	1,093	0,545	4,711	243		3,92	1,12														14																						132,62	15,39	24,23	
25.06.1999	1,057	0,529	4,705	240,3		3,8	1,13														12																						129,77	4,97	24,22	
28.06.1999	1,02	0,52	4,7	236,6		3,75	1,09														12,39																						129,77	14,77	24,22	
29.06.1999	1,023	0,55	4,8	237		3,784	1,139														12,5																						130,25	11,41	24,22	
30.06.1999	1,032	0,555	4,856	241		3,89	1,125														12																						131,64	8,4	24,22	
01.07.1999	1,12	0,63	4,91	251,8		4,127	1,191														13																						136,08	8,14	24,21	
02.07.1999	1,144	0,65	5,177	253,3		4,29	1,232														13,5																						138,57	6,31	24,21	
05.07.1999	1,175	0,683	5,369	260,55		4,555	1,309														16,45																						142,09	10,81	24,29	
06.07.1999	1,225	0,69	5,6	273		4,83	1,452														16																						150,34	18,05	24,29	
07.07.1999	1,181	0,6425	5,317	272		4,77	1,412														15,9																						148,69	11,54	24,48	
08.07.1999	1,151	0,63	5,413	273,5		4,92	1,428														15,6																						149,93	8,93	24,46	
09.07.1999	1,144	0,64	5,35	266,9		4,79	1,42														16																						147,42	10,75	24,44	
12.07.1999	1,051	0,565	5,025	261		4,68	1,425														16																						146,66	6,61	24,42	
13.07.1999	0,975	0,5565	4,994	245		4,5	1,365														14,1																						140,49	7,33	24,4	
14.07.1999	1,045	0,565	5,325	258		4,81	1,46														15																						142,61	5,44	24,38	
15.07.1999	0,999	0,565	5,162	257,1		4,71	1,419														15,5																						141,64	12,86	24,36	
16.07.1999	0,976	0,55	5,042	249,5		4,75	1,41														15,5																						141,27	6,13	24,34	
19.07.1999	0,922	0,4925	4,585	240		4,61	1,407														15,5																						135,08	16,95	24,32	
20.07.1999	0,90199	0,49	4,62	235		4,501	1,345														13																						133,07	11,72	24,3	
21.07.1999	0,84595	0,465	4,488	228,25		4,52	1,303														12																						127,53	5,05	24,28	
22.07.1999	0,86	0,485	4,512	228		4,62	1,33														12																						130,91	4,59	24,26	
23.07.1999	0,8805	0,4995	4,589	225		4,6	1,36														12,5																						127,68	4,36	24,24	
26.07.1999	0,87	0,4785	4,481	226		4,7	1,335														12,5																						128,91	4,26	24,23	
27.07.1999	0,852	0,47	4,51	219,01		4,655	1,34														11,8																						125,94	5,19	24,22	
28.07.1999	0,808	0,42	4,406	220		4,581	1,32														11,5																						124,06	6	24,22	
29.07.1999	0,685	0,37	4,039	201		4,3	1,249														11,5																						117,25	9,38	24,22	
30.07.1999	0,74998	0,3895	4,147	204		4,4	1,26														11																						114,88	16,26	24,21	
02.08.1999	0,733	0,368	4	203		4,42	1,24														11,01																						114,39	13	24,19	
03.08.1999	0,7355	0,3845	4	202,99		4,44	1,257														11,4																						112,32	4,01	24,19	
04.08.1999	0,675	0,337	3,801	193		4,1	1,122														11,4																						106,45	7,07	24,22	
05.08.1999	0,64	0,315	4,02	189,9		3,98	1,129														9,05																						100,03	8,55	24,3	
06.08.1999	0,676	0,32	4,17	197		3,95	1,14														11																						106,32	5,86	24,4	
09.08.1999	0,654	0,325	4,06	200		3,91	1,13														10																						98,87	16,84	24,55	
10.08.1999	0,655	0,3205	4,088	198,3		3,87	1,101														10,01																						110,32	7,86	25,29	
11.08.1999	0,693	0,35	4,08	194,5		3,998	1,16														10,25								4														106,49	6,48	25,01	
12.08.1999	0,75	0,3695	4,09	199,5		3,954	1,18														10,25								4														110,45	9,54	24,96	
13.08.1999	0,715	0,3585	4,07	192,01		3,88	1,151														10								4														107,52	6,16	24,9	
16.08.1999	0,738	0,3585	4,05	192		3,85	1,151														10								4														106,89	6,69	24,88	
17.08.1999	0,72	0,3575	4,15	193,1		3,87	1,15														10								4														107,58	5,64	24,86	
18.08.1999	0,712	0,35	4,105	191,2		3,87	1,21														10								4														107,14	5,79	24,76	
19.08.1999	0,7225	0,355	4,1	193		3,92	1,171														10,2								4														107,52	6,97	24,62	
20.08.1999	0,747	0,3675	4,027	204		4,28	1,249														10,06								4														109,99	5,32	24,6	
23.08.1999	0,835	0,4175	4,25	216,5		4,49	1,31														11,4								4														117,73	7,05	24,82	
25.08.1999	0,83798	0,4105	4,383	210		4,345	1,28														10,5								4														117,27	7,97	24,76	
26.08.1999	0,767	0,3875	4,21	203		4,19	1,26														9,85								2,3														112,65	10,96	24,75	
27.08.1999	0,745	0,3685	4,213	195,5		4,15	1,231														10,1								2,3														108,65	5,35	24,75	
30.08.1999	0,70901	0,35	4,164	187,79		3,983	1,225														9,2								2,3														103,96	10,54	24,75	
31.08.1999	0,731	0,3575	4,14	186		3,907	1,215														9,02								2,3														100,72	9,27	24,75	
01.09.1999	0,732	0,3675	4,124	193,49		3,979	1,23														9,99								2,3														104,91	18,6	24,81	
02.09.1999	0,706	0,3575	4,038	195,5		4	1,23														9,51								2,3														108,54	8,22	25,22	
03.09.1999	0,75	0,3695	4,039	205,49		4,199	1,279														9,8								2,3														108,56	3,24	25,87	
06.09.1999	0,755	0,3775	3,98	203,97		4,2	1,278														9,8								2,3														110,3	5,32	25,82	
07.09.1999	0,765	0,3755	3,965	200		4,188	1,236														10,4								2,3														110,72	6,55	25,82	
08.09.1999	0,726	0,365	3,812	197,44		4,075	1,224														9,8								2,3														108,73	6,59	25,79	
09.09.1999	0,739	0,37	3,84	196,01		4,07	1,23														9,79								2,3														107,41	5,78	25,73	
10.09.1999	0,74	0,3775	3,81	200,5		4,23	1,24														9,79								2,3														110,47	7,75	25,71	
13.09.1999	0,678	0,335	3,6	190		3,976	1,16														9,79								2,3														105,71	20,95	25,7	
14.09.1999	0,675	0,33	3,49	193		3,984	1,1														8								2,3														104,99	23,17	25,54	
15.09.1999	0,63505	0,32	3,225	190		3,76	1,045														8								2,3														101,58	23,59	25,53	
16.09.1999	0,57	0,3075	2,91	182		3,45	0,935														8								2,3														98	25,8	25,48	
17.09.1999	0,56002	0,285	3,065	177		3,379	0,96														8								2,3														93,57	10,67	25,4	
20.09.1999	0,526	0,2655	2,925	165		3,17	0,89														8								2,3														87,87	23,8	25,41	
21.09.1999	0,506	0,258	3,029	161,1		2,81	0,89														8								2,3														83,53	20,97	25,4	
22.09.1999	0,5545	0,2745	3,093	171		3	0,94														8								2,3														83,33	23,47	25,34	
23.09.1999	0,57001	0,274	3,197	174,6		3,255	0,998														8,1								2,3														88,44	23,82	25,31	
24.09.1999	0,567	0,275	3,088	173,01		3,25	0,95														8								2,3														87,6	8,85	25,29	
27.09.1999	0,603	0,295	3,363	182		3,43	1,03														8								2,3														91,14	12,64	25,28	
28.09.1999	0,556	0,2655	3,28	172,1		3,45	1														8								2,3														90,57	14,04	25,27	
30.09.1999	0,517	0,2605	3,193	169,99		3,28	0,98														8								2,3														87,13	18,22	25,08	
01.10.1999	0,5389	0,2655	3,393	170,31		3,49	1														8								2,3														88,74	13,7	25,05	
04.10.1999	0,569	0,2825	3,519	174,61		3,61	1,065														8								2,3														90,79	8,06	25,2	
05.10.1999	0,581	0,2825	3,459	176		3,8	1,076														8								2,3														92,12	8,11	25,49	
06.10.1999	0,5615	0,282	3,45	173,6		3,849	1,08														8,3								2,3														91,82	6,85	25,9	
07.10.1999	0,573	0,2845	3,51	174,7		3,94	1,101														8								2,3														91,96	8,75	25,78	
08.10.1999	0,59201	0,2865	3,696	181,8		4,031	1,12														8,5								1,49														95,34	9,49	25,72	
11.10.1999	0,645	0,315	3,776	194		4,265	1,169														8,5								1,49														98,33	27,59	25,76	
12.10.1999	0,6062	0,295	3,638	194,03		4,02	1,08														8								1,49														100,55	20,72	25,76	
13.10.1999	0,6135	0,2905	3,749	193,5		4,095	1,109														8								1,49														96,88	13,59	25,74	
14.10.1999	0,625	0,31	3,83	207		4,345	1,162														8								1,52														101,31	6,58	25,7	
15.10.1999	0,575	0,285	3,62	197		4,18	1,071														8								1,52														99,01	6,45	25,67	
18.10.1999	0,563	0,285	3,605	197		4,18	1,052														8								1,52														96,88	8,33	25,8	
19.10.1999	0,5902	0,299	3,78	204		4,24	1,109														8								1,55														99,25	6,85	25,88	
20.10.1999	0,59801	0,3	3,879	208,9		4,25	1,119														8								1,55														101,02	8,95	25,83	
21.10.1999	0,58	0,2855	3,805	205		4,192	1,07														8								1,55														100,62	15,32	25,83	
22.10.1999	0,595	0,2925	3,935	208,9		4,265	1,112														8								1,55														101,07	6,48	25,79	
25.10.1999	0,58002	0,2885	3,895	206,9		4,25	1,09														7,5								1,55														101,31	17,85	25,76	
26.10.1999	0,585	0,288	3,95	205,11		4,245	1,106														7,8								1,55														104,3	11,91	25,71	
27.10.1999	0,57	0,284	3,9	205		4,233	1,1														7,5								1,55														105,19	16,12	25,68	
28.10.1999	0,578	0,2855	3,87	208,9		4,499	1,12														7,31								1,55														106,42	28,49	25,8	
29.10.1999	0,58498	0,2935	3,974	208,44		4,37	1,11														7,7								1,55														106,86	43,99	26,09	
01.11.1999	0,58153	0,2875	4,001	206,8		4,34	1,118														7,7								1,55														102,64	6,63	26,05	
02.11.1999	0,587	0,2905	4,222	209		4,375	1,121														8,49								1,7														113,17	6,52	26,07	
03.11.1999	0,565	0,2825	4,1	206		4,26	1,08														8,49								1,7														112,05	6,15	26,37	
04.11.1999	0,579	0,2875	4,2	213,85		4,296	1,105														7,26								1,6														112,08	7,49	26,26	
05.11.1999	0,599	0,2995	4,3	219		4,46	1,14														8,18								1,6														119,89	4,65	26,24	
09.11.1999	0,615	0,305	4,42	225		4,77	1,175														8,59								1,6														124,01	15,02	26,23	
10.11.1999	0,645	0,3175	4,635	232,99		4,95	1,21														9,1								1,6														127,63	9,99	26,19	
11.11.1999	0,632	0,315	4,421	236,9		4,915	1,235														9,8								1,6														121,5	7,44	26,11	
12.11.1999	0,657	0,325	4,42	236		4,99	1,245														9,8								1,6														119,87	3,93	26,11	
15.11.1999	0,654	0,327	4,524	237,5		5,035	1,232														9,85								1,6														121,93	4,78	26,31	
16.11.1999	0,689	0,3435	4,699	239,5		5,16	1,289														10								1,9														122,45	7,61	26,24	
17.11.1999	0,725	0,36	4,709	240,5		5,08	1,3														10,5								1,85														120,32	4,74	26,24	
18.11.1999	0,715	0,3505	4,65	237,5		4,986	1,28														10,5								1,85														118,06	6,75	26,32	
19.11.1999	0,78	0,3795	4,855	245,5		5,26	1,38														11								1,95														121,42	4,56	26,41	
22.11.1999	0,84499	0,4145	5	251,5		5,42	1,487														11,33								1,95														125,65	5,66	26,39	
23.11.1999	0,871	0,43	5,19	255,85		5,48	1,619														12,18								1,95														128,58	4,82	26,49	
24.11.1999	0,804	0,395	4,96	246		5,125	1,52														11,2								1,95														125,45	5,97	26,47	
25.11.1999	0,849	0,4175	5,119	247,51		5,317	1,619														11,5								2,2														123,41	10,17	26,43	
26.11.1999	0,806	0,3975	4,875	247		5,299	1,57														11,5								2,2														125,54	6,37	26,43	
29.11.1999	0,76	0,3825	4,84	238		5,16	1,531														10,5								2,2														122,62	33,12	26,43	
30.11.1999	0,763	0,377	5,12	229,48		5	1,47														10								2,2														120,76	13,17	26,42	
01.12.1999	0,795	0,3875	5,39	231		5,09	1,55														10								2,2														119,71	6,54	26,53	
02.12.1999	0,8	0,39	5,264	232,79		5,155	1,57														11,99								2,2														122,25	4,17	26,75	
03.12.1999	0,853	0,4175	5,5	245,97		5,35	1,64														11,99								2,2														124,86	4,29	26,68	
06.12.1999	0,82	0,4005	5,694	240,5		5,34	1,655														11								2,2														126,63	4,03	26,74	
07.12.1999	0,756	0,3645	5,33	234,01		5,09	1,59														10								2,2														121,97	4,13	26,84	
08.12.1999	0,745	0,3555	5,316	228,5		5,005	1,6														9,8								2,2														117,14	15,83	26,82	
09.12.1999	0,711	0,3505	5,005	227,06		5	1,58														9,8								2,2														118,38	39,4	26,87	
10.12.1999	0,71	0,3405	5,12	223,66		4,984	1,57														9,49								2,2														116,24	21,14	26,87	
14.12.1999	0,74	0,36	5,301	230		5,02	1,581														9,5								2,2														116,8	10,01	26,83	
15.12.1999	0,803	0,3925	5,621	245,5		5,547	1,71														10,4								2,2														124,37	8,49	26,82	
16.12.1999	0,77701	0,3725	5,35	240		5,599	1,647														10								2,2														126,84	7,65	26,8	
17.12.1999	0,8005	0,3855	5,4	246		5,75	1,699														10,5								2,2														126,21	12,92	26,77	
20.12.1999	0,89501	0,435	5,69	261,51		6,47	1,887														11,53								2,5														133,42	12,57	26,77	
21.12.1999	0,921	0,446	5,769	277,5		7,1	2,109														12,25								2,62														141,48	8	26,72	
22.12.1999	0,95	0,4535	5,89	281,4		7,35	2,11														12,02								3														149,39	7,41	26,71	
23.12.1999	0,97	0,47	6,099	288		7,55	2,23														12,7								3,45														145,17	10,84	26,74	
24.12.1999	0,96	0,465	6,27	290		7,63	2,215														12,6								3,5														148,51	13,7	26,72	
27.12.1999	1,05	0,505	6,868	307		8	2,469														16,6								3,5														153,5	25,93	26,76	
28.12.1999	1,027	0,5	7,034	301		7,85	2,39														17,5								5														161,78	30,66	26,95	
29.12.1999	1,016	0,488	7,288	297,01		7,81	2,42														17,17								5,4														150,88	30,66	27	
05.01.2000	1,21801	0,6095	9	339		9,4	3,049														20,1								6,9														173	28	27	
06.01.2000	1,267	0,62	9,075	348,5		9,59	3,055														22,49								6,9														186,26	10,21	26,9	
10.01.2000	1,341	0,6575	10,085	388		8,9	2,91														22,98								6,5														200,81	6,13	27,23	
11.01.2000	1,2172	0,5925	9,105	368,5		8,3	2,7														21,19								5,4														199,57	4,17	27,73	
12.01.2000	1,2651	0,6305	9,153	380		9,301	3														22								6,6														196,88	4,02	28,44	
13.01.2000	1,405	0,7	9,445	384,15		9,081	3,141														22,5								6,6														210,05	4,22	28,85	
14.01.2000	1,499	0,75	9,551	392		9,105	3,398														24,5								6,58														217,28	3,15	28,65	
17.01.2000	1,376	0,6605	8,899	378		8,7	3,285														22,6								6,5														219,73	4,63	28,57	
18.01.2000	1,315	0,643	8,723	360		8,45	3,225														21,6								6														212,88	7,34	28,57	
19.01.2000	1,216	0,5875	8,115	350		8,1	3														20,05								6														200,66	9,71	28,57	
20.01.2000	1,337	0,645	8,745	364,5		8,43	3,18														22,3								6														206,61	6,78	28,52	
21.01.2000	1,366	0,6745	8,4	372,1		8,65	3,13														23,8								6,1														215,77	10,01	28,51	
24.01.2000	1,23505	0,6105	7,975	351,05		8,201	3,06														20,9								6,1														210,82	7,46	28,44	
25.01.2000	1,19	0,5975	7,939	337,02		7,55	2,855														22,5								6,1														198,65	16,4	28,44	
26.01.2000	1,25	0,615	7,699	342		7,345	2,9														22,5								6,1														198,8	14	28,49	
27.01.2000	1,325	0,655	7,55	345		7,96	2,945														22,6								6,1														203,82	9,79	28,55	
28.01.2000	1,20005	0,5935	6,972	332,8		7,75	2,78														21,51								6,1														201,81	10,33	28,55	
31.01.2000	1,137	0,5725	6,61	315		7,33	2,58														20,35								6,1														188,81	38,14	28,55	
01.02.2000	1,127	0,575	6,75	315		7,25	2,55														20,13								5														191,59	11,8	28,55	
02.02.2000	1,143	0,5895	7,14	317,5		7,3	2,47														21,39								5,7														186,67	7,35	28,55	
03.02.2000	1,209	0,605	7,5	326		7,589	2,55														21,95								5,7														189,67	6,81	28,64	
04.02.2000	1,235	0,615	7,35	332,89		7,74	2,62														21,31								5,7														196,08	3,84	28,77	
07.02.2000	1,23601	0,6125	7,32	329		7,63	2,541														22								5,7														200,28	6,43	28,77	
08.02.2000	1,303	0,66	8,26	349		8,22	2,808														22,7								5,45														204,87	6,04	28,76	
09.02.2000	1,307	0,66	8,53	347		8,26	2,8														24								5,8														216,53	6,29	28,72	
10.02.2000	1,3	0,645	9,095	344,8		8,2	2,74														23								5,45														210,25	7,82	28,69	
11.02.2000	1,3001	0,6575	8,999	340,5		8,1	2,82														22,01								5,6														210,91	5,45	28,66	
14.02.2000	1,32101	0,6505	8,891	340		7,801	2,775														22,8								5,6														214,12	5,23	28,77	
15.02.2000	1,27	0,635	9,11	321		7,52	2,6														21,85								5,6														203,2	5,85	28,77	
16.02.2000	1,335	0,663	9,135	320,8		7,6	2,604														22,2								5,5														202,7	6,49	28,72	
17.02.2000	1,38205	0,6865	9,52	327		7,85	2,66														23,1								5,45														201,51	7,61	28,71	
18.02.2000	1,372	0,676	9,415	320		7,6	2,59														23,1								5,04														200,6	6,57	28,79	
21.02.2000	1,35405	0,6825	9,344	315,7		7,351	2,58														23,89								5														195,3	9,15	28,74	
22.02.2000	1,37	0,68	9,471	320		7,39	2,55														24,1								5														199,57	31,18	28,74	
23.02.2000	1,395	0,69	9,772	321		7,37	2,55														25,6								5,22														202,68	12,1	28,87	
24.02.2000	1,43	0,7025	10,022	325,5		7,25	2,449														28,7								5,59														207,16	7,59	28,83	
25.02.2000	1,365	0,68	9,555	305		6,739	2,294														26,25								5,59														198,56	7,54	28,8	
28.02.2000	1,296	0,65	9,14	290,4		6,2	2,07														25,7								5,59														191,12	10,92	28,7	
29.02.2000	1,348	0,66	9,436	297,99		6,7	2,28														26,9								5,59														191,49	28,02	28,66	
01.03.2000	1,392	0,6945	9,585	315,5		7,3	2,439														27,3								5,59														198,99	8,19	28,65	
02.03.2000	1,369	0,6705	9,402	322,5		7,9	2,555														27,5								4,8														201,49	8,06	28,64	
03.03.2000	1,409	0,7	9,634	332,9		8,238	2,698														27,48								4,8														205,49	4,13	28,6	
06.03.2000	1,40505	0,696	9,7	326		8,15	2,636														28								5														210,98	5,54	28,59	
07.03.2000	1,47001	0,725	9,9	341,9		8,25	2,715														31								5														211,95	4,83	28,58	
09.03.2000	1,53603	0,7675	9,905	365,5		8,465	2,811														34,2								5,23														232,16	5,86	28,55	
10.03.2000	1,62	0,79	10,155	384,52		8,72	2,9														39,5								5,3														241,53	4,84	28,53	
13.03.2000	1,525	0,75	9,75	360		8,2	2,64														34,1								5														239,8	4,73	28,51	
14.03.2000	1,56701	0,775	10,012	388,3		8,616	2,804														38,5								5,15														245,92	7,26	28,5	
15.03.2000	1,4936	0,7475	9,807	391		8,41	2,713														37,6								5,1														246,46	6,29	28,49	
16.03.2000	1,435	0,725	9,701	394		8,59	2,701														36								5,3														247,66	4,82	28,46	
17.03.2000	1,4249	0,71	9,58	397		8,05	2,712														36,03								5,01														249,94	4,29	28,43	
20.03.2000	1,399	0,7	9,36	390		7,95	2,699														35								5,04														243,86	4,41	28,41	
21.03.2000	1,46	0,73	9,32	374,21		7,7	2,6														36,4								4,95														240,17	4,71	28,39	
22.03.2000	1,51	0,765	9,537	396		7,75	2,68														37,2								5,11														245,8	3,96	28,38	
